location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#severity+v_ipc,#period+v_ipc,#affected+num,#affected+pct,#date+start,#date+end
PSE,False,True,,Northern Governorates,,,,,2,3,current,193822,0.45,2024-09-01,2024-10-31
PSE,False,True,,Northern Governorates,,,,,2,4,current,150750,0.35,2024-09-01,2024-10-31
PSE,False,True,,Northern Governorates,,,,,2,5,current,43072,0.1,2024-09-01,2024-10-31
PSE,False,True,,Northern Governorates,,,,,2,all,first projection,430715,1.0,2024-11-01,2025-04-30
PSE,False,True,,Northern Governorates,,,,,2,3+,first projection,409180,0.95,2024-11-01,2025-04-30
PSE,False,True,,Northern Governorates,,,,,2,1,first projection,0,0.0,2024-11-01,2025-04-30
PSE,False,True,,Northern Governorates,,,,,2,2,first projection,21536,0.05,2024-11-01,2025-04-30
PSE,False,True,,Northern Governorates,,,,,2,3,first projection,129215,0.3,2024-11-01,2025-04-30
PSE,False,True,,Northern Governorates,,,,,2,4,first projection,193822,0.45,2024-11-01,2025-04-30
PSE,False,True,,Northern Governorates,,,,,2,5,first projection,86143,0.2,2024-11-01,2025-04-30
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,all,current,44201,1.0,2024-09-01,2024-10-31
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,3+,current,37570,0.85,2024-09-01,2024-10-31
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,1,current,0,0.0,2024-09-01,2024-10-31
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,2,current,6630,0.15,2024-09-01,2024-10-31
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,3,current,17680,0.4,2024-09-01,2024-10-31
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,4,current,13260,0.3,2024-09-01,2024-10-31
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,5,current,6630,0.15,2024-09-01,2024-10-31
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,all,first projection,44201,1.0,2024-11-01,2025-04-30
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,3+,first projection,39780,0.9,2024-11-01,2025-04-30
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,1,first projection,0,0.0,2024-11-01,2025-04-30
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,2,first projection,4420,0.1,2024-11-01,2025-04-30
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,3,first projection,15470,0.35,2024-11-01,2025-04-30
PSE,False,True,,Rafah Governorate,PS02,Gaza Strip,PS0275,Rafah,2,4,first projection,15470,0.35,2024-11-01,2025-04-30
